#  | 4FGL Name          | SPT Name              | SPT RA    | SPT Dec    | S95     | S150    | S220    | z       | RASS Name         | SUMSS Name            | AllWISE Name
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J005200-422023  | -
107| 4FGL J0132.8-4413  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J013306.37-441421.4
108| 4FGL J0606.5-4730  | *SPT-S J060635-4729.7 | 91.648544 | -47.496117 | 128.6  | 99.7   | 82.4   | 0.02977 | *J060635.4-472957 | *SUMSS J060635-472953 | J060635.74-472954.8
109| 4FGL J0003.1-5248  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
110| 4FGL J0226.5-4441  | *FSPT-S J022638-4441.3| 36.6618   | -44.6891   | -       | 7.42    | -       | -       | *J022639.0-444117 | SUMSS J022638-444120  | -
   |                    | *FSPT-S J022627-4441.1| 36.6144   | -44.6859   | -       | 4.50    | -       | -       | -                 | SUMSS J022627-444109  | -
111| 4FGL J2258.4-5524  | *SPT-S J225819-5525.5 | 344.58197 | -55.425579 | 18.7   | 14.3   | 11.8   | 0.47900 | *J225819.1-552532 | *SUMSS J225818-552537 | J225818.97-552537.4
112| 4FGL J0610.9-6054  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J061030.32-605838.0
113| 4FGL J0049.4-5402  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | J004948.87-540243.5
114| *4FGL J2054.1-4054 | *FSPT-S J205422-4051.3| 313.594   | -40.8561   | -       | 5.03    | -       | -       | -                 | SUMSS J205409-405349  | -
   |                    | *FSPT-S J205409-4050.4| 313.539   | -40.8412   | -       | 1.34    | -       | -       | -                 | SUMSS J205409-405028  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J205422-405122  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J205340-405537  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J205431-404841  | -
115| 4FGL J0604.1-4816  | *SPT-S J060409-4817.4 | 91.040779 | -48.290905 | 7.6    | 8.3    | 14.3   | -       | *J060409.4-481726 | *SUMSS J060408-481723 | -
116| *4FGL J0557.5-4452 | -                     | -         | -          | -       | -       | -       | -       | J055818.1-450146  | -                     | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | J055631.6-445151 | -                     | -
117| 4FGL J0528.7-5920  | *SPT-S J052846-5919.8 | 82.194939 | -59.331352 | 7.9    | 11.7   | 15.2   | -       | *J052846.9-592000 | *SUMSS J052845-592003 | -
118| 4FGL J0146.9-5202  | *SPT-S J014648-5202.5 | 26.700077 | -52.042297 | 126.4  | 93.3   | 73.4   | 0.09810 | *J014650.5-520227 | *SUMSS J014649-520234 | J014648.59-520233.5
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J014647-520249 | -
119| 4FGL J0001.6-4156  | *FSPT-S J000133-4155.4| 0.387708   | -41.9234   | -       | 2.09    | -       | -       | *J000135.5-415519 | SUMSS J000133-415524  | -
120| *4FGL J0535.1-5422 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
121| 4FGL J0138.5-4613  | *SPT-S J013834-4614.2 | 24.642935 | -46.237595 | 37.1   | 30.9   | 13.3   | 0.09011 | *J013833.0-461414 | *SUMSS J013834-461415 | J013833.92-461416.9
122| 4FGL J0525.4-4600  | *SPT-S J052532-4559.8 | 81.386566 | -45.998112 | 10.7   | 5.7    | 4.3    | -       | *J052531.2-455754 | *SUMSS J052531-455755 | J052531.40-455754.6
