#  | 4FGL Name          | SPT Name              | SPT RA    | SPT Dec    | S95     | S150    | S220    | z       | RASS Name         | SUMSS Name            | AllWISE Name
226| *4FGL J2012.1-5234 | *SPT-S J201213-5232.8 | 303.05734 | -52.546993 | 6.8    | 7.3    | 5.5    | -       | -                 | *SUMSS J201213-523253 | J201213.72-523251.1
227| 4FGL J2213.5-4754  | *SPT-S J221330-4754.4 | 333.37650 | -47.907516 | 10.7   | 8.5    | 7.4    | -       | -                 | *SUMSS J221330-475426 | J221330.35-475425.2
228| 4FGL J0214.8-6150  | *SPT-S J021415-6149.5 | 33.564651 | -61.825943 | 497.0  | 385.3  | 318.3  | -       | -                 | *SUMSS J021415-614933 | J021416.20-614933.6
229| 4FGL J0350.4-5144  | *FSPT-S J035028-5144.7| 57.6171   | -51.7453   | -       | 4.10    | -       | -       | *J035028.1-514455 | SUMSS J035028-514442  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | *J035037.0-514457 | -                     | -
230| 4FGL J0150.6-5448  | *SPT-S J015044-5450.1 | 27.684191 | -54.835197 | 10.7   | 10.2   | 4.7    | -       | -                 | *SUMSS J015044-545004 | J015044.53-545005.0
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J015049-544848  | -
231| 4FGL J0443.4-4152  | *SPT-S J044328-4151.6 | 70.869850 | -41.860382 | 8.1    | 6.1    | 7.0    | -       | *J044328.4-415151 | *SUMSS J044328-415156 | -
232| *4FGL J2046.9-5409 | *FSPT-S J204701-5412.7| 311.754   | -54.2129   | -       | 3.75    | -       | -       | -                 | SUMSS J204701-541246  | -
233| 4FGL J0003.3-5905  | *SPT-S J000312-5905.7 | 0.80377758  | -59.095818 | 18.1   | 12.6   | 14.4   | -       | -                 | *SUMSS J000313-590547 | J000313.32-590547.9
234| *4FGL J0125.9-6303 | *FSPT-S J012547-6302.7| 21.4477   | -63.0452   | -       | 6.05    | -       | -       | -                 | SUMSS J012547-630242  | -
   |                    | *FSPT-S J012541-6305.7| 21.4243   | -63.0955   | -       | 2.15    | -       | -       | -                 | SUMSS J012541-630543  | -
235| *4FGL J0539.2-6333 | -                     | -         | -          | -       | -       | -       | -       | J053842.7-632807  | SUMSS J053855-633239  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053906-633308  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053952-632911  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J053832-633500  | -
236| 4FGL J0654.0-4152  | *SPT-S J065400-4151.8 | 103.50089 | -41.863800 | 36.6   | 28.6   | 15.3   | 0.00002 | *J065358.9-415144 | *SUMSS J065400-415144 | J065359.90-415144.9
237| *4FGL J0301.6-5617 | *FSPT-S J030115-5616.7| 45.3126   | -56.2795   | -       | 3.49    | -       | -       | -                 | SUMSS J030115-561646  | -
238| 4FGL J0652.1-4813  | *SPT-S J065203-4809.0 | 103.01524 | -48.150814 | 6.7    | 6.2    | 11.3   | -       | *J065201.0-480858 | *SUMSS J065200-480859 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J065229-481323  | -
239| *4FGL J2030.3-5038 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
240| 4FGL J0056.6-4452  | *SPT-S J005646-4451.0 | 14.192291 | -44.850079 | 116.1  | 91.8   | 75.3   | -       | -                 | *SUMSS J005645-445103 | J005645.85-445102.0
241| *4FGL J0407.7-5702 | -                     | -         | -          | -       | -       | -       | -       | J040729.8-570019  | -                     | -
242| *4FGL J0314.4-4805 | *SPT-S J031428-4807.8 | 48.619804 | -48.130821 | 14.2   | 10.1   | 6.1    | -       | J031358.0-480312  | *SUMSS J031429-480755 | J031428.94-480748.8
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J031355-480053  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J031351-480014  | -
243| *4FGL J0031.5-5648 | *FSPT-S J003136-5646.6| 7.90158   | -56.7770   | -       | 2.27    | -       | -       | -                 | SUMSS J003136-564637  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J003122-564403  | -
244| 4FGL J0429.3-4326  | *SPT-S J042924-4328.5 | 67.352554 | -43.476421 | 21.3   | 15.2   | 8.5    | 1.42300 | *J042924.5-432821 | *SUMSS J042924-432835 | J042925.00-432836.3
245| 4FGL J0309.4-4000  | -                     | -         | -          | -       | -       | -       | -       | *J030926.2-395927 | SUMSS J030925-395932  | J030913.01-400150.8
246| 4FGL J0049.5-4150  | *SPT-S J004939-4151.3 | 12.416498 | -41.856342 | 12.4   | 4.0    | 3.0    | -       | *J004939.9-415133 | *SUMSS J004938-415140 | J004940.11-415122.2
247| *4FGL J2343.0-4756 | *FSPT-S J234302-4757.8| 355.760   | -47.9644   | -       | 5.46    | -       | -       | -                 | SUMSS J234302-475751  | -
248| *4FGL J0610.8-4911 | -                     | -         | -          | -       | -       | -       | -       | *J061100.1-491034 | -                     | -
249| *4FGL J2311.6-4427 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
250| *4FGL J0102.0-6240 | *FSPT-S J010147-6243.1| 15.4496   | -62.7184   | -       | 3.93    | -       | -       | -                 | SUMSS J010147-624306  | -
251| *4FGL J0611.4-4722 | -                     | -         | -          | -       | -       | -       | -       | J061126.4-471826  | SUMSS J061132-472316  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J061132-472140  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J061118-472026  | -
252| *4FGL J2042.1-5320 | *FSPT-S J204217-5321.1| 310.573   | -53.3519   | -       | 2.33    | -       | -       | J204220.7-532643  | SUMSS J204217-532106  | -
   |                    | *FSPT-S J204220-5326.9| 310.584   | -53.4485   | -       | 4.70    | -       | -       | -                 | SUMSS J204220-532654  | -
253| 4FGL J0401.0-5353  | -                     | -         | -          | -       | -       | -       | -       | *J040111.9-535456 | -                     | -
254| 4FGL J2127.6-5959  | *SPT-S J212722-6000.8 | 321.84546 | -60.014957 | 3.1    | 12.9   | 38.9   | 0.00578 | *J212728.9-600049 | *SUMSS J212721-600052 | J212721.45-600051.9
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J212726-595705  | -
255| 4FGL J2316.9-5210  | *SPT-S J231702-5210.0 | 349.26062 | -52.166996 | 10.0   | 8.2    | 8.1    | -       | *J231701.7-521017 | *SUMSS J231701-521003 | J231701.72-521001.4
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J231659-521427  | -
256| 4FGL J2042.7-5415  | *FSPT-S J204304-5411.6| 310.768   | -54.1945   | -       | 2.09    | -       | -       | -                 | SUMSS J204304-541140  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J204250-542032  | -
257| 4FGL J2239.2-5657  | *SPT-S J223911-5701.0 | 339.79987 | -57.016701 | 727.8  | 520.7  | 406.2  | 0.56860 | J223911.8-570046  | SUMSS J223911-565731  | J223912.09-570100.7
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | *SUMSS J223912-570101 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J223830-570010  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J223904-570506  | -
258| 4FGL J2202.7-5637  | *SPT-S J220253-5635.7 | 330.72101 | -56.595280 | 47.6   | 40.5   | 41.6   | 0.04890 | -                 | *SUMSS J220253-563542 | J220253.29-563542.0
259| *4FGL J0246.0-4838 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
260| *4FGL J0459.7-5413 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
261| *4FGL J0023.6-4209 | *SPT-S J002300-4206.4 | 5.7503142 | -42.106800 | 3.7    | 8.0    | 5.4    | -       | -                 | *SUMSS J002259-420624 | -
262| 4FGL J0311.5-4402  | *FSPT-S J031103-4402.5| 47.7633   | -44.0419   | -       | 1.75    | -       | -       | *J031104.2-440245 | SUMSS J031103-440230  | -
263| 4FGL J0214.4-5822  | *SPT-S J021409-5822.0 | 33.540543 | -58.368229 | 53.3   | 46.5   | 42.5   | -       | -                 | *SUMSS J021410-582209 | J021410.30-582206.7
264| 4FGL J0450.7-4938  | *SPT-S J045101-4936.3 | 72.756813 | -49.605736 | 108.5  | 80.8   | 55.6   | -       | -                 | *SUMSS J045102-493626 | -
265| 4FGL J0331.1-5243  | *SPT-S J033113-5241.7 | 52.806690 | -52.695560 | 38.1   | 27.2   | 23.1   | 0.06658 | -                 | *SUMSS J033115-524148 | -
266| 4FGL J2321.0-6308  | *SPT-S J232042-6309.7 | 350.17892 | -63.162590 | 9.2    | 3.0    | 2.4    | 0.20000 | -                 | *SUMSS J232039-630918 | -
267| 4FGL J0328.8-5715  | -                     | -         | -          | -       | -       | -       | -       | *J032852.3-571552 | -                     | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | *J032844.3-571557 | -                     | -
268| 4FGL J0316.0-5626  | -                     | -         | -          | -       | -       | -       | -       | *J031613.4-562545 | -                     | -
269| *4FGL J0058.3-4603 | -                     | -         | -          | -       | -       | -       | -       | *J005807.5-460420 | -                     | -
270| *4FGL J0640.9-5204 | *SPT-S J064110-5202.5 | 100.29420 | -52.041710 | 29.7   | 24.4   | 19.0   | -       | -                 | *SUMSS J064111-520232 | J064111.26-520232.2
271| 4FGL J0106.9-4832  | *SPT-S J010655-4831.4 | 16.731707 | -48.524315 | 31.3   | 27.3   | 26.1   | -       | -                 | *SUMSS J010655-483129 | J010655.64-483129.2
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J010646-483457  | -
272| *4FGL J0118.3-6008 | *SPT-S J011823-6007.8 | 19.599682 | -60.130081 | 13.7   | 10.8   | 6.3    | -       | -                 | *SUMSS J011823-600751 | J011823.49-600751.3
   |                    | -                     | -         | -          | -       | -       | -       | -       | -                 | SUMSS J011804-601100  | -
273| *4FGL J0347.0-6400 | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
274| 4FGL J0133.2-4533  | *FSPT-S J013309-4535.4| 23.2900   | -45.5901   | -       | 1.46    | -       | -       | *J013308.8-453528 | SUMSS J013309-453524  | -
275| *4FGL J0215.0-5330 | *FSPT-S J021515-5328.7| 33.8130   | -53.4785   | -       | 4.31    | -       | -       | -                 | SUMSS J021515-532842  | -
276| 4FGL J0338.7-5706  | -                     | -         | -          | -       | -       | -       | -       | -                 | -                     | -
277| 4FGL J0101.7-5455  | *FSPT-S J010141-5455.8| 15.4242   | -54.9306   | -       | 4.72    | -       | -       | *J010144.0-545614 | SUMSS J010141-545550  | -
278| *4FGL J0620.7-5034 | *SPT-S J062045-5033.9 | 95.190498 | -50.566246 | 9.7    | 8.0    | 5.0    | -       | *J062046.9-503405 | *SUMSS J062046-503354 | -
279| 4FGL J0317.8-4414  | *SPT-S J031757-4414.0 | 49.491135 | -44.234749 | 92.8   | 74.7   | 63.6   | 0.07611 | *J031758.0-441413 | *SUMSS J031757-441418 | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | *J031746.6-441642 | SUMSS J031805-441201  | -
   |                    | -                     | -         | -          | -       | -       | -       | -       | *J031740.8-441348 | -                     | -
280| 4FGL J0201.1-4347  | *FSPT-S J020110-4346.8| 30.2948   | -43.7813   | -       | 4.38    | -       | -       | -                 | SUMSS J020110-434652  | -
281| *4FGL J0308.9-4702 | *FSPT-S J030858-4700.5| 47.2430   | -47.0091   | -       | 1.55    | -       | -       | -                 | SUMSS J030858-470032  | -
